Name,Technical Skills,Soft Skills,Business Skills,Creative Skills,Academic Skills
Leo,low,super,good,good,middle
Liam,low,good,low,middle,good
Neil,low,middle,good,middle,good
Wesley,low,good,good,low,good
Hugo,low,middle,low,low,middle
Kathy,low,middle,super,middle,good
Emily,low,good,low,good,low
Bob,low,middle,middle,good,low
Lenny,low,good,middle,middle,middle
Jeff,low,low,low,super,super
Nina,low,super,middle,middle,good
Mabel,low,low,super,middle,low
Kristen,low,middle,super,middle,super
Gail,low,good,low,good,middle
Yasmine,low,low,good,good,middle
Tim,low,middle,middle,low,middle
Yvonne,low,good,good,good,low
Owen,low,good,middle,middle,super
Fay,low,low,middle,good,middle
Jack,low,middle,good,low,low
Norm,low,middle,low,middle,super
Duke,low,good,low,low,middle
Tracy,low,good,good,middle,good
Rose,low,low,low,middle,good
Steve,low,middle,middle,middle,good
Irene,low,good,super,good,middle
Roger,low,low,middle,middle,good
Sam,low,good,low,low,good
Victor,low,low,low,middle,middle
Gwen,low,good,middle,good,super
Otis,low,middle,good,middle,middle
Quinn,low,middle,middle,low,low
Ian,low,good,super,good,super
Megan,low,middle,low,middle,good
Eve,low,super,low,super,good
Kim,low,good,good,super,low
Xiomara,low,low,low,middle,super
Louis,low,low,low,middle,good
Leonard,low,middle,super,low,super
Mindy,low,good,middle,middle,low
Trevor,low,middle,good,super,super
Oscar,low,good,middle,middle,low
Pam,low,super,good,middle,middle
Grace,low,good,middle,middle,low
Upton,low,good,super,super,good
Avery,low,middle,low,good,super
Howard,low,good,low,good,good
Daisy,low,good,good,low,low
Dave,low,middle,low,low,middle
Ursula,low,middle,middle,super,good
Bill,low,low,good,super,low
Vivian,low,middle,middle,super,good
Xyla,low,low,good,low,good
Ulrich,low,middle,low,middle,super
Katie,low,low,low,super,middle
Preston,low,good,good,middle,super
Queenie,low,low,good,middle,good
Gerald,low,good,middle,good,low
Isaac,low,good,middle,super,low
Nick,low,good,low,middle,low
Gina,low,good,middle,middle,good
Alice,low,super,middle,low,good
Arthur,low,low,middle,low,low
Catherine,low,low,super,low,super
Walter,low,low,super,middle,low
Amy,low,good,super,super,super
Wilma,low,good,low,super,low
Ned,low,good,good,middle,good
Vera,low,low,low,middle,super
Ivy,low,low,low,low,middle
Susie,low,good,low,low,good
Tina,low,super,middle,middle,middle
Daniel,low,low,middle,low,good
Camille,low,low,low,middle,low
Rhonda,low,good,good,low,good
Ron,low,middle,middle,low,middle
Paul,low,low,low,middle,middle
Olivia,low,good,middle,low,middle
Tom,low,good,good,low,low
Quincy,low,good,middle,low,low
Zinnia,low,low,good,good,super
George,low,good,low,middle,low
Ken,low,low,good,middle,good
Clara,low,middle,low,super,middle
Mary,low,super,middle,super,middle
Quasar,low,low,middle,super,middle
Yogi,low,good,middle,super,low
Julian,low,good,low,low,middle
Ulysses,low,low,good,middle,super
Ulla,low,good,super,low,good
Helen,low,good,super,good,middle
Dexter,low,low,good,low,middle
Carlos,low,low,low,good,low
Xander,low,super,middle,good,middle
Olive,low,good,super,middle,good
Tabitha,low,super,middle,middle,middle
Ella,low,good,middle,low,low
Maureen,low,low,low,low,super
Wanda,low,middle,super,middle,middle
Angela,low,super,good,low,middle
