Name,Technical Skills,Soft Skills,Business Skills,Creative Skills,Academic Skills,Summary
Leo,low,super,good,good,middle,super
Liam,low,good,low,middle,good,good
Neil,low,middle,good,middle,good,good
Wesley,low,good,good,low,good,good
Hugo,low,middle,low,low,middle,low
Kathy,low,middle,super,middle,good,super
Emily,low,good,low,good,low,good
Bob,low,middle,middle,good,low,low
Lenny,low,good,middle,middle,middle,middle
Jeff,low,low,low,super,super,super
Nina,low,super,middle,middle,good,super
Mabel,low,low,super,middle,low,super
Kristen,low,middle,super,middle,super,super
Gail,low,good,low,good,middle,good
Yasmine,low,low,good,good,middle,good
Tim,low,middle,middle,low,middle,middle
Yvonne,low,good,good,good,low,good
Owen,low,good,middle,middle,super,super
Fay,low,low,middle,good,middle,low
Jack,low,middle,good,low,low,low
Norm,low,middle,low,middle,super,super
Duke,low,good,low,low,middle,low
Tracy,low,good,good,middle,good,good
Rose,low,low,low,middle,good,low
Steve,low,middle,middle,middle,good,middle
Irene,low,good,super,good,middle,super
Roger,low,low,middle,middle,good,low
Sam,low,good,low,low,good,good
Victor,low,low,low,middle,middle,low
Gwen,low,good,middle,good,super,super
Otis,low,middle,good,middle,middle,middle
Quinn,low,middle,middle,low,low,low
Ian,low,good,super,good,super,super
Megan,low,middle,low,middle,good,low
Eve,low,super,low,super,good,super
Kim,low,good,good,super,low,super
Xiomara,low,low,low,middle,super,super
Louis,low,low,low,middle,good,low
Leonard,low,middle,super,low,super,super
Mindy,low,good,middle,middle,low,low
Trevor,low,middle,good,super,super,super
Oscar,low,good,middle,middle,low,low
Pam,low,super,good,middle,middle,super
Grace,low,good,middle,middle,low,low
Upton,low,good,super,super,good,super
Avery,low,middle,low,good,super,super
Howard,low,good,low,good,good,good
Daisy,low,good,good,low,low,good
Dave,low,middle,low,low,middle,low
Ursula,low,middle,middle,super,good,super
Bill,low,low,good,super,low,super
Vivian,low,middle,middle,super,good,super
Xyla,low,low,good,low,good,good
Ulrich,low,middle,low,middle,super,super
Katie,low,low,low,super,middle,super
Preston,low,good,good,middle,super,super
Queenie,low,low,good,middle,good,good
Gerald,low,good,middle,good,low,good
Isaac,low,good,middle,super,low,super
Nick,low,good,low,middle,low,low
Gina,low,good,middle,middle,good,good
Alice,low,super,middle,low,good,super
Arthur,low,low,middle,low,low,low
Catherine,low,low,super,low,super,super
Walter,low,low,super,middle,low,super
Amy,low,good,super,super,super,super
Wilma,low,good,low,super,low,super
Ned,low,good,good,middle,good,good
Vera,low,low,low,middle,super,super
Ivy,low,low,low,low,middle,low
Susie,low,good,low,low,good,good
Tina,low,super,middle,middle,middle,super
Daniel,low,low,middle,low,good,low
Camille,low,low,low,middle,low,low
Rhonda,low,good,good,low,good,good
Ron,low,middle,middle,low,middle,middle
Paul,low,low,low,middle,middle,low
Olivia,low,good,middle,low,middle,low
Tom,low,good,good,low,low,good
Quincy,low,good,middle,low,low,low
Zinnia,low,low,good,good,super,super
George,low,good,low,middle,low,low
Ken,low,low,good,middle,good,good
Clara,low,middle,low,super,middle,super
Mary,low,super,middle,super,middle,super
Quasar,low,low,middle,super,middle,super
Yogi,low,good,middle,super,low,super
Julian,low,good,low,low,middle,low
Ulysses,low,low,good,middle,super,super
Ulla,low,good,super,low,good,super
Helen,low,good,super,good,middle,super
Dexter,low,low,good,low,middle,low
Carlos,low,low,low,good,low,low
Xander,low,super,middle,good,middle,super
Olive,low,good,super,middle,good,super
Tabitha,low,super,middle,middle,middle,super
Ella,low,good,middle,low,low,low
Maureen,low,low,low,low,super,super
Wanda,low,middle,super,middle,middle,super
Angela,low,super,good,low,middle,super
